CPD_ID,DO_CHEMISTRY,CHEMISTRY_COMMENT,MW,MW_DES,ALOGP,ALOGP_DES,HBD,HBD_DES,HBA,HBA_DES,PSA,PSA_DES,ROTB,ROTB_DES,AROM,AROM_DES,ALERTS,ALERTS_DES,UNWEIGHTED_QED,QED
14365,NO,too simple,192.16812,0.4,1.557,0.894,2,0.792,4,0.887,74.59,0.914,3,0.993,1,0.827,1,0.64,0.768,0.712
14366,NO,too simple,302.41124,0.999,2.218,0.976,2,0.792,4,0.887,42.52,0.968,10,0.212,2,0.938,1,0.64,0.734,0.661
14367,NO,too simple,198.13294,0.435,1.863,0.94,1,0.987,5,0.726,111.87,0.564,2,0.87,1,0.827,2,0.241,0.642,0.575
14368,NO,too simple,196.22632,0.423,0.789,0.716,1,0.987,3,0.985,78.92,0.882,2,0.87,1,0.827,0,0.842,0.794,0.759
14369,NO,too simple,329.86366,0.959,4.476,0.7,2,0.792,2,0.93,32.26,0.856,7,0.533,2,0.938,0,0.842,0.806,0.785
14370,NO,too simple,127.20736,0.15,1.107,0.8,1,0.987,1,0.233,40.26,0.951,2,0.87,1,0.827,0,0.842,0.596,0.635
14371,NO,too simple,120.17012,0.135,0.664,0.68,2,0.792,3,0.985,76.09,0.904,3,0.993,0,0.472,1,0.64,0.611,0.537
14372,NO,too simple,153.13538,0.224,0.831,0.728,1,0.987,4,0.887,59.42,0.991,2,0.87,1,0.827,0,0.842,0.735,0.683
14373,NO,too simple,153.13538,0.224,0.831,0.728,1,0.987,4,0.887,59.42,0.991,2,0.87,1,0.827,0,0.842,0.735,0.683
14374,NO,too simple,233.39227,0.67,5.032,0.455,0,0.592,1,0.233,3.24,0.266,4,0.97,1,0.827,0,0.842,0.543,0.705
14375,NO,too simple,293.29513,0.987,3.345,0.977,0,0.592,5,0.726,97.57,0.712,4,0.97,2,0.938,3,0.082,0.62,0.489
14376,NO,too simple,202.206,0.46,2.371,0.987,0,0.592,3,0.985,43.37,0.973,0,0.395,1,0.827,2,0.241,0.614,0.479
14377,NO,too simple,202.206,0.46,2.371,0.987,0,0.592,3,0.985,43.37,0.973,0,0.395,1,0.827,2,0.241,0.614,0.479
14378,NO,too simple,103.11975,0.105,-0.747,0.266,1,0.987,2,0.93,52.32,1,3,0.993,0,0.472,0,0.842,0.564,0.511
14379,NO,too simple,218.29306,0.565,4.349,0.75,0,0.592,0,0.028,0,0.218,2,0.87,2,0.938,0,0.842,0.425,0.703
14380,NO,too simple,238.34581,0.705,3.004,0.997,0,0.592,3,0.985,51.6,0.999,8,0.4,1,0.827,2,0.241,0.652,0.516
14381,NO,too simple,154.13004,0.227,-2.051,0.085,2,0.792,5,0.726,98.72,0.7,1,0.637,1,0.827,1,0.64,0.476,0.453
14382,NO,too simple,271.26802,0.91,2.607,0.997,2,0.792,5,0.726,67.79,0.956,4,0.97,2,0.938,0,0.842,0.887,0.894
14383,NO,too simple,114.09934,0.123,-0.51,0.324,1,0.987,3,0.985,54.37,1,0,0.395,0,0.472,1,0.64,0.511,0.431
14384,NO,too simple,340.52541,0.917,5.201,0.383,0,0.592,3,0.985,40.9,0.956,2,0.87,1,0.827,0,0.842,0.766,0.743
14385,NO,too simple,314.42348,0.995,5.15,0.404,0,0.592,0,0.028,9.86,0.387,2,0.87,4,0.035,0,0.842,0.3,0.484
14386,NO,too simple,172.22308,0.299,1.983,0.954,0,0.592,1,0.233,17.07,0.546,1,0.637,1,0.827,0,0.842,0.559,0.633
14387,NO,too simple,310.42994,0.999,5.741,0.202,0,0.592,2,0.93,26.3,0.75,10,0.212,2,0.938,2,0.241,0.501,0.413
14388,NO,too simple,210.62038,0.513,0.096,0.502,2,0.792,4,0.887,66.38,0.964,1,0.637,1,0.827,0,0.842,0.726,0.69
14389,NO,too simple,174.287,0.308,1.024,0.78,1,0.987,4,0.887,86.42,0.819,2,0.87,0,0.472,2,0.241,0.601,0.5
14390,NO,too simple,566.74134,0.082,3.207,0.988,10,0.006,6,0.525,186.04,0.088,22,0.003,2,0.938,3,0.082,0.093,0.059
14391,NO,too simple,329.39519,0.96,-0.187,0.415,3,0.379,5,0.726,135.12,0.342,4,0.97,2,0.938,1,0.64,0.62,0.668
14392,NO,too simple,202.2309,0.46,0.224,0.542,3,0.379,5,0.726,100.8,0.679,2,0.87,1,0.827,2,0.241,0.548,0.47
14393,NO,too simple,226.2523,0.62,0.95,0.76,2,0.792,5,0.726,98.57,0.702,4,0.97,1,0.827,2,0.241,0.662,0.588
14394,NO,too simple,213.31806,0.531,3.071,0.995,1,0.987,1,0.233,12.03,0.433,0,0.395,1,0.827,0,0.842,0.589,0.698
14395,NO,too simple,266.46353,0.885,2.614,0.997,0,0.592,1,0.233,17.07,0.546,1,0.637,1,0.827,2,0.241,0.551,0.564
14396,NO,too simple,280.2579,0.949,-0.406,0.352,2,0.792,5,0.726,103.54,0.651,9,0.293,0,0.472,2,0.241,0.504,0.441
14397,NO,too simple,368.59366,0.763,7.477,0.035,0,0.592,3,0.985,43.37,0.973,20,0.006,0,0.472,2,0.241,0.239,0.165
14398,NO,too simple,160.21568,0.249,1.391,0.863,0,0.592,2,0.93,25.25,0.729,1,0.637,1,0.827,0,0.842,0.665,0.62
14399,NO,too simple,238.263,0.704,0.577,0.653,3,0.379,5,0.726,114.79,0.533,1,0.637,2,0.938,2,0.241,0.56,0.496
14400,NO,too simple,180.26998,0.337,2.241,0.978,2,0.792,1,0.233,56.15,0.998,4,0.97,1,0.827,1,0.64,0.648,0.686
14401,NO,too simple,324.47811,0.975,4.99,0.473,1,0.987,3,0.985,73.58,0.921,12,0.107,1,0.827,1,0.64,0.626,0.55
14402,NO,too simple,260.37126,0.85,4.709,0.6,0,0.592,2,0.93,26.3,0.75,4,0.97,1,0.827,1,0.64,0.757,0.733
14403,NO,too simple,260.37126,0.85,4.709,0.6,0,0.592,2,0.93,26.3,0.75,4,0.97,1,0.827,1,0.64,0.757,0.733
14404,NO,too simple,224.33916,0.606,4.145,0.82,0,0.592,2,0.93,26.3,0.75,4,0.97,0,0.472,2,0.241,0.623,0.53
14405,NO,too simple,184.2753,0.357,3.425,0.969,0,0.592,2,0.93,26.3,0.75,3,0.993,0,0.472,1,0.64,0.675,0.628
14406,NO,too simple,128.16897,0.152,0.772,0.711,0,0.592,2,0.93,18.46,0.578,0,0.395,0,0.472,0,0.842,0.521,0.48
14407,NO,too simple,258.31232,0.838,2.518,0.994,0,0.592,3,0.985,43.37,0.973,5,0.848,1,0.827,3,0.082,0.637,0.463
14408,NO,too simple,156.18238,0.234,0.807,0.721,0,0.592,3,0.985,49.06,0.996,2,0.87,0,0.472,2,0.241,0.56,0.439
14409,NO,too simple,141.17104,0.186,-0.488,0.33,0,0.592,2,0.93,47.34,0.991,1,0.637,0,0.472,1,0.64,0.532,0.463
14410,NO,too simple,193.42908,0.407,1.655,0.91,0,0.592,2,0.93,25.78,0.739,0,0.395,1,0.827,1,0.64,0.649,0.586
14411,NO,too simple,308.47872,1,5.653,0.226,1,0.987,3,0.985,62.6,0.98,12,0.107,1,0.827,1,0.64,0.577,0.507
14412,NO,too simple,240.29704,0.718,3.783,0.914,0,0.592,2,0.93,18.46,0.578,4,0.97,2,0.938,1,0.64,0.768,0.757
14413,NO,too simple,391.71808,0.62,6.911,0.052,1,0.987,1,0.233,20.23,0.619,4,0.97,3,0.257,0,0.842,0.419,0.512
14414,NO,too simple,166.30806,0.274,-0.267,0.391,2,0.792,4,0.887,102.64,0.66,6,0.689,0,0.472,2,0.241,0.5,0.419
14415,NO,too simple,136.19428,0.172,0.675,0.683,2,0.792,2,0.93,52.04,1,1,0.637,1,0.827,1,0.64,0.643,0.558
14416,NO,too simple,239.38024,0.712,3.948,0.877,1,0.987,4,0.887,63.11,0.978,6,0.689,1,0.827,2,0.241,0.722,0.603
14417,NO,too simple,171.23832,0.295,1.975,0.953,1,0.987,1,0.233,12.03,0.433,0,0.395,1,0.827,0,0.842,0.544,0.629
14418,NO,too simple,152.68542,0.222,2.391,0.988,0,0.592,1,0.233,25.3,0.73,3,0.993,0,0.472,1,0.64,0.534,0.571
14419,NO,too simple,150.30535,0.214,2.158,0.971,1,0.987,2,0.93,64.09,0.974,3,0.993,0,0.472,1,0.64,0.697,0.626
14420,NO,too simple,298.46566,0.996,4.208,0.8,0,0.592,7,0.332,150.3,0.232,10,0.212,0,0.472,1,0.64,0.469,0.547
14421,NO,too simple,402.50552,0.556,2.128,0.969,0,0.592,6,0.525,127.55,0.408,8,0.4,2,0.938,0,0.842,0.619,0.665
14422,NO,too simple,273.57664,0.921,4.534,0.676,0,0.592,0,0.028,28.24,0.787,1,0.637,2,0.938,0,0.842,0.504,0.73
14423,NO,too simple,85.14754,0.082,0.817,0.724,1,0.987,1,0.233,26.02,0.744,1,0.637,0,0.472,1,0.64,0.459,0.469
14424,NO,too simple,85.14754,0.082,0.817,0.724,1,0.987,1,0.233,26.02,0.744,1,0.637,0,0.472,1,0.64,0.459,0.469
14425,NO,too simple,119.1423,0.133,-0.491,0.329,0,0.592,3,0.985,66.31,0.964,1,0.637,0,0.472,0,0.842,0.53,0.467
14426,NO,too simple,188.22578,0.378,2.598,0.997,1,0.987,3,0.985,41.46,0.96,2,0.87,1,0.827,0,0.842,0.824,0.775
14427,NO,too simple,236.71726,0.693,3.997,0.864,0,0.592,1,0.233,45.31,0.983,2,0.87,2,0.938,1,0.64,0.674,0.727
14428,NO,too simple,234.33551,0.677,5.591,0.244,0,0.592,0,0.028,0,0.218,0,0.395,3,0.257,1,0.64,0.281,0.445
14429,NO,too simple,149.2328,0.211,2.816,1,0,0.592,1,0.233,12.89,0.452,3,0.993,1,0.827,0,0.842,0.556,0.644
14430,NO,too simple,118.13594,0.131,0.84,0.731,0,0.592,2,0.93,36.68,0.915,0,0.395,1,0.827,0,0.842,0.583,0.506
14431,NO,too simple,274.35807,0.925,3.363,0.976,1,0.987,4,0.887,52.9,1,7,0.533,1,0.827,1,0.64,0.829,0.775
14432,NO,too simple,243.30274,0.739,0.135,0.514,3,0.379,4,0.887,91.28,0.774,9,0.293,0,0.472,4,0.027,0.372,0.232
14433,NO,too simple,111.10199,0.118,-1.768,0.108,2,0.792,3,0.985,78.91,0.883,0,0.395,0,0.472,1,0.64,0.424,0.363
14434,NO,too simple,199.29147,0.442,4.061,0.846,0,0.592,0,0.028,4.93,0.294,1,0.637,2,0.938,0,0.842,0.418,0.652
14435,NO,too simple,316.23947,0.992,3.649,0.939,2,0.792,2,0.93,40.46,0.952,5,0.848,1,0.827,1,0.64,0.858,0.814
14436,NO,too simple,146.12788,0.201,-0.007,0.469,1,0.987,5,0.726,125.85,0.424,1,0.637,1,0.827,2,0.241,0.496,0.44
14437,NO,too simple,152.19037,0.22,2.119,0.968,0,0.592,2,0.93,26.3,0.75,2,0.87,0,0.472,2,0.241,0.553,0.447
14438,NO,too simple,194.61438,0.414,3.542,0.955,0,0.592,2,0.93,26.3,0.75,3,0.993,1,0.827,3,0.082,0.569,0.418
14439,NO,too simple,149.18973,0.21,1.872,0.941,0,0.592,1,0.233,22,0.659,0,0.395,1,0.827,0,0.842,0.515,0.552
14440,NO,too simple,149.18973,0.21,1.872,0.941,0,0.592,1,0.233,22,0.659,0,0.395,1,0.827,0,0.842,0.515,0.552
14441,NO,too simple,342.12911,0.909,3.155,0.991,0,0.592,3,0.985,35.53,0.901,3,0.993,2,0.938,2,0.241,0.756,0.635
14442,NO,too simple,218.29481,0.565,2.849,1,0,0.592,1,0.233,23.55,0.693,4,0.97,1,0.827,0,0.842,0.661,0.762
14443,NO,too simple,218.29812,0.565,2.214,0.976,1,0.987,3,0.985,42.74,0.969,5,0.848,2,0.938,1,0.64,0.847,0.782
14444,NO,too simple,218.2716,0.564,2.57,0.996,1,0.987,2,0.93,65.53,0.968,3,0.993,2,0.938,1,0.64,0.859,0.804
14445,NO,too simple,182.30248,0.347,4.557,0.666,0,0.592,1,0.233,17.07,0.546,8,0.4,0,0.472,3,0.082,0.358,0.305
14446,NO,too simple,264.14984,0.872,4.762,0.576,0,0.592,1,0.233,12.36,0.44,3,0.993,2,0.938,1,0.64,0.606,0.728
14447,NO,too simple,84.07666,0.081,-0.478,0.332,1,0.987,2,0.93,52.05,1,0,0.395,1,0.827,0,0.842,0.536,0.461
14448,NO,too simple,84.07666,0.081,-0.478,0.332,1,0.987,2,0.93,52.05,1,0,0.395,1,0.827,0,0.842,0.536,0.461
14449,NO,too simple,398.38772,0.58,1.915,0.946,0,0.592,8,0.191,144.17,0.272,13,0.076,1,0.827,4,0.027,0.27,0.212
14450,NO,too simple,178.1846,0.327,1.425,0.87,0,0.592,3,0.985,43.37,0.973,3,0.993,1,0.827,2,0.241,0.65,0.519
14451,NO,too simple,190.28142,0.39,3.373,0.975,0,0.592,1,0.233,17.07,0.546,4,0.97,1,0.827,1,0.64,0.59,0.665
